,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
63,Tuktoyaktuk,40,CA,1592518599,81,69.45,-133.04,44.6,9.17
64,Adrar,61,MR,1592518346,16,20.5,-10.07,98.87,15.28
65,Te Anau,17,NZ,1592518402,90,-45.42,167.72,33.66,1.66
66,Hobart,75,AU,1592518359,93,-42.88,147.33,39.2,6.93
67,Mugumu,62,TZ,1592518603,82,-1.85,34.7,59.59,2.55
68,Albany,56,US,1592518604,51,42.6,-73.97,87.01,1.01
69,Yenagoa,100,NG,1592518606,94,4.92,6.26,74.07,4.12
70,Tiksi,100,RU,1592518607,74,71.69,128.87,52.12,2.48
71,Tamale,79,GH,1592518608,81,9.4,-0.84,76.01,11.56
72,Torbay,90,CA,1592518609,68,47.67,-52.73,66.99,13.87
73,Shimoda,100,JP,1592518610,95,34.67,138.95,59.0,1.99
74,Ribeira Grande,75,PT,1592518373,88,38.52,-28.7,64.4,5.82
75,Imbituba,20,BR,1592518384,73,-28.24,-48.67,71.6,14.99
76,Nyurba,27,RU,1592518614,83,63.28,118.33,56.55,3.89
77,Ambulu,10,ID,1592518615,87,-8.35,113.61,75.38,4.76
78,Deniliquin,8,AU,1592518616,82,-35.53,144.97,53.01,10.87
79,Coahuayana Viejo,40,MX,1592518617,52,18.73,-103.68,89.6,17.22
80,Cabo San Lucas,20,MX,1592518619,30,22.89,-109.91,93.2,9.17
81,Santa Rosa,75,PH,1592518620,83,14.31,121.11,82.4,4.7
82,Bambous Virieux,75,MU,1592518621,83,-20.34,57.76,70.0,13.87
83,Lesnoy,0,RU,1592518622,74,57.62,63.08,39.72,3.47
84,Tuy Hoa,61,VN,1592518386,85,13.08,109.3,78.15,4.99
85,Ponta do Sol,20,PT,1592518624,73,32.67,-17.1,69.8,8.05
86,Bantou,100,CN,1592518625,83,26.22,117.49,77.0,1.95
87,Agadez,16,NE,1592518627,15,19.75,10.25,87.21,4.7
88,‘Āhuimanu,75,US,1592518628,46,21.44,-157.84,91.4,14.99
89,Chokurdakh,68,RU,1592518365,34,70.63,147.92,78.93,5.17
90,Ostrovnoy,100,RU,1592518361,84,68.05,39.51,46.89,13.31
91,Nikolskoye,75,RU,1592518370,77,59.7,30.79,66.2,2.24
92,Hithadhoo,91,MV,1592518632,75,-0.6,73.08,84.38,9.62
93,Hofn,0,IS,1592518633,86,64.25,-15.21,49.26,2.84
94,Kruisfontein,0,ZA,1592518634,43,-34.0,24.73,56.86,6.76
95,Rawson,96,AR,1592518636,48,-43.3,-65.1,56.12,16.42
96,Buin,75,CL,1592518637,81,-33.73,-70.75,51.8,2.55
97,Hong Kong,65,HK,1592518398,79,22.29,114.16,84.0,5.01
98,Horta,75,PT,1592518639,88,38.53,-28.63,64.4,5.82
99,Port Elizabeth,0,ZA,1592518640,87,-33.92,25.57,50.0,9.4
100,Quang Ngai,25,VN,1592518641,84,15.12,108.8,77.18,3.49
101,Belaya Gora,38,RU,1592518643,22,68.53,146.42,85.37,6.67
102,Sharkan,0,RU,1592518644,87,57.3,53.87,45.0,1.74
103,Port Lincoln,70,AU,1592518645,85,-34.73,135.87,56.73,18.9
104,Kaeo,7,NZ,1592518646,3,-35.1,173.78,54.0,10.04
105,Hashtrūd,0,IR,1592518647,46,37.48,47.05,62.44,2.98
106,Paamiut,56,GL,1592518649,83,61.99,-49.67,39.61,16.37
107,Tiarei,75,PF,1592518650,78,-17.53,-149.33,82.0,3.36
108,Leningradskiy,55,RU,1592518651,58,69.38,178.42,45.63,6.69
109,Harper,100,LR,1592518652,78,4.38,-7.72,78.42,11.5
110,Saint-Paul,69,RE,1592518432,64,-21.01,55.27,71.6,23.04
111,Sitka,90,US,1592518654,93,57.05,-135.33,53.6,5.82
112,Constitución,100,CL,1592518656,90,-35.33,-72.42,55.24,27.13
113,Atar,0,MR,1592518471,17,20.52,-13.05,98.31,9.71
114,Gawler,0,AU,1592518658,57,-34.6,138.73,57.99,13.0
115,Wau,100,SS,1592518659,89,7.7,28.0,70.02,3.4
116,Kaseda-shirakame,75,JP,1592518660,91,31.42,130.32,75.2,13.87
117,Atuona,13,PF,1592518662,75,-9.8,-139.03,80.24,11.88
118,Tocopilla,77,CL,1592518663,64,-22.09,-70.2,62.85,1.01
119,Kampot,20,KH,1592518664,88,10.62,104.18,80.6,4.7
120,Moree,0,AU,1592518665,87,-29.47,149.85,48.2,10.29
121,Coolum Beach,24,AU,1592518666,87,-26.53,153.1,61.0,1.99
122,Saskylakh,10,RU,1592518668,49,71.92,114.08,69.73,7.78
123,Khatanga,66,RU,1592518669,57,71.97,102.5,52.99,11.05
124,Sistranda,20,NO,1592518670,87,63.73,8.83,53.6,2.24
125,Evensk,78,RU,1592518671,77,61.95,159.23,54.05,6.11
126,Waipawa,100,NZ,1592518672,93,-41.41,175.52,53.01,20.8
127,Puerto Madryn,99,AR,1592518435,48,-42.77,-65.04,57.34,23.2
128,Riyadh,59,SA,1592518663,14,24.69,46.72,87.8,5.82
129,Lebu,100,CL,1592518676,88,-37.62,-73.65,54.46,14.36
130,Castro,100,BR,1592518677,94,-24.79,-50.01,58.06,4.47
131,Christchurch,100,NZ,1592518517,100,-43.53,172.63,45.0,13.87
132,Barcelos,0,PT,1592518444,87,41.54,-8.62,60.01,9.17
133,Bandarbeyla,70,SO,1592518389,72,9.49,50.81,80.19,30.71
134,Marawi,93,PH,1592518681,94,8.0,124.29,73.0,5.99
135,Codrington,66,AU,1592518683,75,-38.27,141.97,50.68,15.48
136,Santa Maria da Boa Vista,50,BR,1592518684,65,-8.81,-39.83,77.63,12.97
137,Linkou,0,CN,1592518685,80,45.3,130.28,56.61,1.9
138,Uppsala County,0,SE,1592518538,87,60.0,17.75,60.8,2.24
139,Yellowknife,5,CA,1592518687,42,62.46,-114.35,66.0,18.34
140,Saint Paul Harbor,1,US,1592518689,81,57.79,-152.41,51.8,12.75
141,Myingyan,99,MM,1592518690,72,21.47,95.38,80.6,14.36
142,Thaton,100,MM,1592518691,89,16.92,97.37,77.32,2.86
143,Baykit,42,RU,1592518692,60,61.67,96.37,56.34,3.47
144,Arraial do Cabo,13,BR,1592518693,78,-22.97,-42.03,73.4,13.87
145,‘Ewa Beach,40,US,1592518694,54,21.32,-158.01,84.2,20.8
146,Quatre Cocos,75,MU,1592518695,83,-20.21,57.76,70.0,13.87
147,Henties Bay,0,NA,1592518697,38,-22.12,14.28,73.0,11.07
148,Bilibino,2,RU,1592518698,31,68.05,166.44,73.4,7.31
149,High Rock,75,BS,1592518699,88,26.62,-78.28,77.0,20.8
150,Fort Nelson,75,CA,1592518500,47,58.81,-122.7,75.2,3.36
151,Mount Gambier,41,AU,1592518701,71,-37.83,140.77,51.8,14.99
152,Thompson,90,CA,1592518702,100,55.74,-97.86,39.2,11.41
153,Nanortalik,87,GL,1592518703,82,60.14,-45.24,39.76,6.31
154,Karibib,0,NA,1592518705,39,-21.93,15.83,56.84,12.8
155,Acapulco de Juárez,5,MX,1592518691,70,16.86,-99.89,87.8,12.75
156,Takoradze,100,GH,1592518707,86,4.88,-1.76,77.34,7.74
157,Lenger,0,KZ,1592518708,39,42.18,69.88,64.4,6.71
158,Ilulissat,90,GL,1592518709,100,69.22,-51.1,33.8,4.7
159,Abhā,100,SA,1592518710,46,18.22,42.51,75.2,3.56
160,Tucuruí,42,BR,1592518588,75,-3.77,-49.67,78.4,3.71
161,Ahipara,21,NZ,1592518713,72,-35.17,173.17,54.93,11.14
162,Hue,20,VN,1592518714,94,16.47,107.6,78.8,2.24
163,Vila Velha,3,BR,1592518597,83,-20.33,-40.29,71.6,3.96
164,Saint-Augustin,100,CA,1592518716,96,51.23,-58.65,57.43,4.0
165,Uíge,0,AO,1592518717,42,-7.61,15.06,64.33,1.9
166,Úvaly,99,CZ,1592518719,87,50.07,14.73,62.01,8.05
167,Chui,37,UY,1592518720,83,-33.7,-53.46,58.91,10.25
168,Chumikan,100,RU,1592518721,93,54.72,135.31,40.05,5.68
169,Flin Flon,90,CA,1592518722,86,54.77,-101.86,41.0,12.75
170,Murbād,90,IN,1592518723,94,19.25,73.4,80.6,6.93
171,Vicksburg,1,US,1592518724,40,32.35,-90.88,89.6,3.36
172,Buritizeiro,1,BR,1592518726,60,-17.35,-44.96,67.33,3.65
173,Innisfail,96,AU,1592518727,97,-17.53,146.03,62.01,5.99
174,Pangnirtung,90,CA,1592518728,93,66.15,-65.71,35.6,13.87
175,Tombouctou,97,ML,1592518729,13,20.0,-3.0,100.13,6.69
176,Airai,78,TL,1592518730,100,-8.93,125.41,58.95,4.81
177,Los Llanos de Aridane,9,ES,1592518731,73,28.66,-17.92,71.6,14.99
178,Camacha,20,PT,1592518732,88,33.08,-16.33,68.0,6.93
179,Batemans Bay,8,AU,1592518734,100,-35.72,150.18,41.0,5.57
180,Kathmandu,75,NP,1592518595,100,27.72,85.32,69.8,2.24
181,Poronaysk,100,RU,1592518736,94,49.22,143.12,46.38,9.86
182,São Filipe,0,CV,1592518737,63,14.9,-24.5,80.28,13.56
183,Karakol,100,KG,1592518738,73,42.49,78.39,50.04,2.3
184,Salalah,40,OM,1592518739,88,17.02,54.09,82.4,4.7
185,Kavaratti,99,IN,1592518741,79,10.57,72.64,84.42,17.05
186,Wahiawā,90,US,1592518452,65,21.5,-158.02,91.4,9.17
187,Mahibadhoo,65,MV,1592518743,74,3.78,72.97,84.0,5.21
188,Chincholi,100,IN,1592518744,82,17.47,77.43,76.08,12.21
189,Alugan,91,PH,1592518745,87,12.22,125.48,76.98,4.65
190,Brae,86,GB,1592518746,93,60.4,-1.35,51.8,10.29
191,Tuatapere,17,NZ,1592518747,83,-46.13,167.68,39.0,3.0
192,Jørpeland,40,NO,1592518534,88,59.02,6.04,64.0,4.7
193,Pacific Grove,1,US,1592518750,20,36.62,-121.92,84.2,13.87
194,Pisco,75,PE,1592518751,77,-13.7,-76.22,66.2,13.87
195,Nioro,11,GM,1592518752,56,13.35,-15.75,85.8,13.78
196,Buchanan,75,LR,1592518753,94,5.88,-10.05,78.8,5.82
197,Mēga,71,ET,1592518754,75,4.05,38.3,62.15,10.31
198,La Ronge,90,CA,1592518755,35,55.1,-105.28,57.2,12.75
199,Deputatsky,33,RU,1592518757,41,69.3,139.9,74.88,3.18
200,Boyolangu,58,ID,1592518758,88,-8.12,111.89,75.92,7.9
201,Giohar,97,SO,1592518759,80,2.78,45.5,75.51,12.64
202,Sussex,40,US,1592518760,65,41.18,-74.67,79.0,5.82
203,Severo-Kuril'sk,81,RU,1592518761,84,50.68,156.12,43.48,8.34
204,Mayo,1,US,1592518687,57,38.89,-76.51,80.01,8.05
205,San Carlos,100,VE,1592518559,93,9.66,-68.58,76.55,0.29
206,Carutapera,78,BR,1592518764,93,-1.2,-46.02,75.96,7.94
207,Ābyek,0,IR,1592518765,55,36.07,50.55,84.2,2.57
208,Tranås,0,SE,1592518767,72,58.04,14.98,64.4,2.24
209,Ingham,1,US,1592518768,35,42.6,-84.38,84.2,3.36
210,Dudinka,85,RU,1592518769,70,69.41,86.18,44.6,13.42
211,Omsukchan,97,RU,1592518770,39,62.53,155.8,67.12,3.24
212,Kangāvar,0,IR,1592518771,28,34.5,47.97,64.11,1.79
213,Ancud,75,CL,1592518687,93,-41.87,-73.82,48.2,11.41
214,Taywarah,0,AF,1592518773,43,33.35,64.42,51.85,5.37
215,Valkeakoski,0,FI,1592518774,87,61.26,24.03,59.0,1.12
216,Simao,100,CN,1592518776,96,22.79,100.97,65.91,2.46
217,Otane,100,NZ,1592518777,91,-39.88,176.63,57.02,9.24
218,Palembang,100,ID,1592518778,95,-2.92,104.75,73.99,3.24
219,Coquimbo,100,CL,1592518779,82,-29.95,-71.34,57.2,4.7
220,Mandalgovi,98,MN,1592518780,26,45.76,106.27,68.99,10.78
221,Wonogiri,3,ID,1592518782,87,-7.81,110.93,73.78,3.49
222,Padang,96,ID,1592518783,78,-0.95,100.35,77.49,3.38
223,Kirensk,0,RU,1592518784,84,57.79,108.11,50.23,3.56
224,Aden,52,YE,1592518584,70,12.78,45.04,87.13,10.58
225,Villa Juárez,5,MX,1592518786,35,24.65,-107.54,98.6,17.22
226,North Bend,1,US,1592518787,77,43.41,-124.22,73.0,26.4
227,Half Moon Bay,1,US,1592518788,77,37.46,-122.43,91.99,9.17
228,Lorengau,30,PG,1592518790,75,-2.02,147.27,84.15,8.46
229,Souillac,75,MU,1592518791,83,-20.52,57.52,69.8,13.87
230,Santoña,75,ES,1592518792,77,43.44,-3.46,62.6,2.24
231,Russell,40,US,1592518793,45,32.35,-85.2,86.0,3.6
232,Homer,90,US,1592518672,76,59.64,-151.55,53.6,12.75
233,Kamenka,0,RU,1592518795,77,51.32,42.77,68.0,3.0
234,Chicama,10,PE,1592518796,67,-7.84,-79.15,69.21,8.05
235,Monrovia,75,LR,1592518798,94,6.3,-10.8,78.8,5.82
236,Tagusao,66,PH,1592518799,78,9.19,117.81,80.37,4.36
237,Klaksvík,100,FO,1592518800,93,62.23,-6.59,50.0,5.82
238,Dubbo,69,AU,1592518801,87,-32.25,148.62,50.0,12.75
239,Cururupu,63,BR,1592518802,95,-1.83,-44.87,74.98,4.27
240,Aldan,98,RU,1592518804,76,58.6,125.39,59.63,5.1
241,Santa Cruz,0,MA,1592518590,73,30.42,-9.6,69.8,14.99
242,Kendari,83,ID,1592518806,95,-3.94,122.5,73.56,4.63
243,Kuril'sk,85,RU,1592518807,90,45.23,147.88,50.27,4.34
244,Bethel,1,US,1592518751,69,41.37,-73.41,79.0,8.05
245,Dingle,100,PH,1592518809,95,11.0,122.67,74.88,8.95
246,Honiara,20,SB,1592518810,88,-9.43,159.95,77.0,2.24
247,Geraldton,0,AU,1592518812,87,-28.77,114.6,50.0,10.29
248,Agirish,37,RU,1592518813,78,61.92,63.02,37.11,0.67
249,Soc Trang,100,VN,1592518814,86,9.6,105.98,79.77,4.29
250,Hasaki,75,JP,1592518815,100,35.73,140.83,66.0,6.93
251,Zabul Province,0,AF,1592518816,22,32.25,67.25,67.01,3.6
252,Lasem,38,ID,1592518817,88,-6.69,111.45,76.21,5.86
253,Norman Wells,75,CA,1592518819,34,65.28,-126.83,78.8,10.29
254,Mariental,0,NA,1592518820,41,-24.63,17.97,54.91,12.77
255,Tasiilaq,100,GL,1592518821,75,65.61,-37.64,42.8,47.2
256,Okhotsk,92,RU,1592518822,88,59.38,143.3,47.21,2.66
257,Port Moresby,40,PG,1592518823,94,-9.44,147.18,73.4,5.82
258,Province of Mantua,59,IT,1592518824,73,45.17,10.78,66.99,3.0
259,Swan River,100,CA,1592518825,89,52.11,-101.27,45.95,7.31
260,Carballo,5,ES,1592518826,89,43.21,-8.69,55.0,1.01
261,Plettenberg Bay,0,ZA,1592518827,44,-34.05,23.37,62.49,8.12
262,Purpe,12,RU,1592518828,74,64.48,76.69,42.01,14.97
263,Taiyuan,73,CN,1592518830,68,37.87,112.56,66.2,2.24
264,Imeni Zhelyabova,20,RU,1592518831,97,58.95,36.6,64.65,7.14
265,Tchibanga,97,GA,1592518832,94,-2.85,11.03,69.67,2.37
266,Turinskaya Sloboda,24,RU,1592518833,73,57.62,64.39,39.72,3.53
267,Taitung City,100,TW,1592518817,83,22.76,121.14,77.0,4.7
268,Haines Junction,100,CA,1592518835,56,60.75,-137.51,56.89,4.65
269,Salym,23,RU,1592518836,79,60.06,71.48,37.44,7.4
270,San Jose,40,US,1592518590,15,37.34,-121.89,93.99,13.87
271,Praia da Vitória,20,PT,1592518839,77,38.73,-27.07,68.0,5.17
272,Juneau,90,US,1592518740,87,58.3,-134.42,53.6,3.85
273,Boguchany,48,RU,1592518841,66,58.38,97.45,54.01,6.93
274,Grand Gaube,98,MU,1592518842,77,-20.01,57.66,70.0,5.99
275,Aklavik,40,CA,1592518804,67,68.22,-135.01,60.8,5.82
276,Ürümqi,57,CN,1592518558,46,43.8,87.6,69.8,6.71
277,Kiryat Gat,8,IL,1592518846,80,31.61,34.76,73.99,5.61
278,Umluj,1,SA,1592518847,60,25.02,37.27,81.03,8.68
279,Campoverde,40,PE,1592518848,58,-8.48,-74.81,87.8,4.7
280,Ucar,40,AZ,1592518849,52,40.52,47.65,69.8,8.05
281,Kirakira,44,SB,1592518850,78,-10.45,161.92,82.53,10.49
282,Talnakh,94,RU,1592518851,81,69.49,88.4,42.8,13.42
283,Lincoln,90,US,1592518801,73,40.8,-96.67,75.2,14.99
284,Celestún,51,MX,1592518853,63,20.87,-90.4,86.05,9.06
285,Provideniya,2,RU,1592518855,62,64.38,-173.3,57.2,8.95
286,Williams Lake,75,CA,1592518856,33,52.14,-122.14,71.6,5.82
287,Kahului,20,US,1592518857,41,20.89,-156.47,91.4,24.16
288,Larreynaga,40,NI,1592518858,74,12.68,-86.57,84.2,4.7
289,Tabas,0,IR,1592518859,15,33.6,56.92,89.6,4.7
290,Saldanha,0,ZA,1592518860,66,-33.01,17.94,53.6,4.7
291,Blagoyevo,96,RU,1592518861,70,63.37,47.92,51.03,5.53
292,Mossamedes,3,AO,1592518863,63,-15.2,12.15,72.03,7.65
293,Canyon,91,US,1592518864,25,34.98,-101.92,91.99,3.0
294,Kuito,0,AO,1592518865,64,-12.38,16.93,49.53,3.06
295,Turka,31,UA,1592518866,84,49.15,23.03,60.01,2.89
296,Longyearbyen,40,SJ,1592518867,61,78.22,15.64,46.4,6.93
297,Iralaya,75,HN,1592518868,74,15.0,-83.23,86.0,8.05
298,Katsuura,75,JP,1592518870,100,35.13,140.3,64.4,4.7
299,Banjar,40,ID,1592518871,94,-8.19,114.97,80.6,14.99
300,Clyde River,90,CA,1592518872,86,70.47,-68.59,33.8,10.29
301,Naze,75,JP,1592518873,74,28.37,129.48,84.2,16.11
302,Back Mountain,15,US,1592518874,87,41.34,-76.0,79.0,5.64
303,Zheleznodorozhnyy,0,RU,1592518875,88,55.75,38.0,73.0,6.71
304,Saint George,1,US,1592518627,9,37.1,-113.58,89.6,10.29
305,Ambanja,30,MG,1592518878,71,-13.68,48.45,70.34,3.4
306,Buala,7,SB,1592518879,73,-8.14,159.59,83.62,4.97
307,Evanston,1,US,1592518789,28,42.04,-87.69,84.99,10.29
308,Phek,100,IN,1592518881,100,25.67,94.5,61.77,1.61
309,Sol'-Iletsk,0,RU,1592518882,69,51.16,54.99,54.5,12.62
310,Blythe,1,US,1592518883,13,33.61,-114.6,102.2,11.41
311,Coyhaique,90,CL,1592518885,75,-45.58,-72.07,44.6,3.36
312,Wakimachi,75,JP,1592518886,100,34.07,134.15,66.2,3.36
313,Usol'ye-Sibirskoye,99,RU,1592518887,61,52.75,103.65,53.98,8.68
314,Bend,1,US,1592518879,15,44.06,-121.32,78.8,6.93
315,San Fernando del Valle de Catamarca,74,AR,1592518848,43,-28.47,-65.79,66.0,4.0
316,Quito,40,EC,1592518861,68,-0.23,-78.52,64.4,11.41
317,Pimenta Bueno,73,BR,1592518892,69,-11.67,-61.19,77.25,2.04
318,Batagay,0,RU,1592518893,28,67.63,134.63,81.01,1.48
319,Lompoc,1,US,1592518894,72,34.64,-120.46,69.01,13.87
320,Samarai,49,PG,1592518895,83,-10.62,150.67,79.45,15.66
321,Ulladulla,0,AU,1592518897,100,-35.35,150.47,46.0,6.22
322,Ust'-Koksa,10,RU,1592518898,81,50.27,85.61,44.19,1.43
323,Kenora,75,CA,1592518899,73,49.82,-94.43,73.4,14.99
324,Timmins,20,CA,1592518606,33,48.47,-81.33,87.8,5.82
325,San Patricio,5,MX,1592518901,79,19.22,-104.7,84.2,13.87
326,Yar-Sale,27,RU,1592518903,79,66.83,70.83,37.02,12.03
327,Sarapul,0,RU,1592518904,87,56.48,53.8,45.0,0.54
328,Alekseyevka,17,RU,1592518905,87,50.63,38.69,66.31,7.99
329,Mahébourg,75,MU,1592518906,83,-20.41,57.7,69.8,13.87
330,Río Gallegos,75,AR,1592518907,100,-51.62,-69.22,37.4,4.7
331,Port Blair,99,IN,1592518908,83,11.67,92.75,82.6,12.12
332,Shchors,94,UA,1592518909,91,51.82,31.95,63.46,2.66
333,Kousséri,67,CM,1592518911,70,12.08,15.03,84.2,4.7
334,Hay River,20,CA,1592518912,41,60.82,-115.8,77.0,8.05
335,Bonavista,100,CA,1592518913,81,48.65,-53.11,55.0,3.0
336,Biggar,90,GB,1592518796,87,55.62,-3.52,55.99,3.0
337,Vostok,95,RU,1592518915,100,46.49,135.88,48.33,2.55
338,Menongue,0,AO,1592518916,66,-14.66,17.69,50.16,4.76
339,Murchison,90,NZ,1592518670,78,-41.8,172.33,49.15,1.45
340,Richards Bay,100,ZA,1592518918,81,-28.78,32.04,58.41,3.67
341,Sukhoy Log,1,RU,1592518920,73,56.91,62.03,40.89,4.14
342,Fairbanks,1,US,1592518802,31,64.84,-147.72,75.0,3.36
343,Beira,75,MZ,1592518922,93,-19.84,34.84,66.2,10.29
344,Benghazi,0,LY,1592518923,48,32.12,20.07,75.6,3.62
345,Siliguri,100,IN,1592518924,94,26.7,88.43,75.81,6.06
346,Alihe,91,CN,1592518925,93,50.57,123.72,54.54,2.8
347,Suzun,95,RU,1592518926,96,53.78,82.31,53.73,7.58
348,Portland,1,US,1592518494,31,45.52,-122.68,79.0,5.82
349,Kudahuvadhoo,91,MV,1592518929,72,2.67,72.89,84.0,3.06
350,Lata,0,PT,1592518930,86,40.16,-8.33,61.0,3.13
351,Jumla,67,NP,1592518931,71,29.27,82.18,60.66,0.27
352,Maracaibo,59,VE,1592518830,71,10.63,-71.64,85.44,9.78
353,Tamandaré,17,BR,1592518933,83,-8.76,-35.1,77.65,11.18
354,Hambantota,75,LK,1592518934,100,6.12,81.12,78.8,6.93
355,Sabang,78,ID,1592518935,74,5.89,95.32,82.85,9.28
356,Winslow,1,US,1592518936,9,35.02,-110.7,91.4,14.99
357,Port-Cartier,75,CA,1592518937,54,50.03,-66.87,80.6,8.05
358,Ponta Delgada,75,PT,1592518939,72,37.73,-25.67,64.4,5.82
359,Nizhniy Tsasuchey,38,RU,1592518940,72,50.52,115.13,62.82,10.4
360,Boundiali,100,CI,1592518941,85,9.52,-6.49,75.42,7.96
361,Champerico,40,GT,1592518942,70,14.3,-91.92,87.8,9.17
362,Maun,0,BW,1592518943,50,-19.98,23.42,53.6,9.17
363,Narsaq,75,GL,1592518944,73,60.92,-46.05,44.6,12.75
364,Siavonga,63,ZM,1592518945,53,-16.54,28.71,65.46,3.2
365,Tārāpur,86,IN,1592518947,82,19.85,72.7,83.12,11.88
366,San Francisco,20,US,1592518685,28,37.77,-122.42,82.4,17.22
367,Ségou,85,ML,1592518949,32,13.43,-6.22,96.24,9.4
368,Labuhan,6,ID,1592518950,88,-6.88,112.21,76.69,7.67
369,Ternate,92,ID,1592518951,79,0.8,127.4,80.35,3.71
370,Departamento de Maldonado,20,UY,1592518952,93,-34.67,-54.92,57.99,6.93
371,Chapleau,5,CA,1592518954,25,47.84,-83.4,84.2,10.29
372,Vadinsk,0,RU,1592518955,90,53.69,43.06,58.12,10.56
373,Sainte-Maxime,0,FR,1592518956,55,43.3,6.63,68.0,6.93
